hsa-miR-135b-3p
hsa-miR-135b-5p
hsa-miR-141-3p
hsa-miR-141-5p
hsa-miR-182-5p
hsa-miR-183-5p
hsa-miR-200a-3p
hsa-miR-200a-5p
hsa-miR-200b-3p
hsa-miR-200b-5p
hsa-miR-200c-3p
hsa-miR-200c-5p
hsa-miR-203a-3p
hsa-miR-203b-3p
hsa-miR-205-5p
hsa-miR-375-3p
hsa-miR-429
hsa-miR-96-5p
hsa-miR-1293
hsa-miR-151a-3p
hsa-miR-224-5p
hsa-miR-23b-3p
hsa-miR-27b-3p
hsa-miR-31-3p
hsa-miR-31-5p
hsa-miR-452-5p
hsa-miR-6499-5p
hsa-miR-6510-3p
hsa-miR-708-3p
hsa-miR-934
hsa-miR-944
hsa-miR-1-3p
hsa-miR-10a-5p
hsa-miR-10b-5p
hsa-miR-133a-3p
hsa-miR-133a-5p
hsa-miR-133b
hsa-miR-143-3p
hsa-miR-145-3p
hsa-miR-145-5p
hsa-miR-148a-3p
hsa-miR-148a-5p
hsa-miR-196a-5p
hsa-miR-196b-5p
hsa-miR-199a-3p
hsa-miR-199a-5p
hsa-miR-199b-3p
hsa-miR-199b-5p
hsa-miR-21-3p
hsa-miR-21-5p
hsa-miR-214-3p
hsa-miR-214-5p
hsa-miR-24-2-5p
hsa-miR-24-3p
hsa-miR-27a-3p
hsa-miR-28-3p
hsa-miR-28-5p
hsa-let-7i-3p
hsa-let-7i-5p
hsa-miR-142-5p
hsa-miR-146a-5p
hsa-miR-146b-3p
hsa-miR-146b-5p
hsa-miR-150-3p
hsa-miR-150-5p
hsa-miR-155-5p
hsa-miR-221-3p
hsa-miR-222-3p
hsa-miR-222-5p
hsa-miR-223-3p
hsa-miR-223-5p
hsa-miR-23a-3p
hsa-miR-27a-5p
hsa-miR-4772-3p
hsa-miR-511-5p
hsa-let-7a-3p
hsa-miR-101-3p
hsa-miR-101-5p
hsa-miR-126-3p
hsa-miR-126-5p
hsa-miR-140-5p
hsa-miR-142-3p
hsa-miR-152-3p
hsa-miR-195-5p
hsa-miR-218-5p
hsa-miR-22-3p
hsa-miR-22-5p
hsa-miR-29b-3p
hsa-miR-29c-3p
hsa-miR-301a-3p
hsa-miR-30b-5p
hsa-miR-30d-3p
hsa-miR-30e-5p
hsa-miR-32-5p
hsa-miR-335-5p
hsa-miR-34a-5p
